Date,Price
2024-10,38.515
2024-09,39.044
2024-08,39.825
2024-07,35.87
2024-06,34.48
2024-05,34.223
2024-04,29.12
2024-03,27.34
2024-02,24.865
2024-01,30.235
2023-12,32.35
2023-11,42.09
2023-10,48.005
2023-09,41.859
2023-08,35.03
2023-07,28.365
2023-06,37.103
2023-05,26.85
2023-04,38.54
2023-03,47.845
2023-02,46.665
2023-01,57.35
2022-12,76.315
2022-11,146.395
2022-10,123.35
2022-09,188.8
2022-08,239.905
2022-07,190.915
2022-06,144.515
2022-05,94.005
2022-04,99.45
2022-03,125.905
2022-02,98.595
2022-01,84.67
2021-12,70.345
2021-11,92.515
2021-10,64.865
2021-09,97.775
2021-08,50.34
2021-07,40.755
2021-06,34.62
2021-05,24.93
2021-04,23.285
2021-03,18.995
2021-02,15.695
2021-01,19.82
2020-12,19.125
2020-11,15.14
2020-10,14.06
2020-09,13.285
2020-08,11.24
2020-07,6.025
2020-06,6.165
2020-05,4.385
2020-04,6.22
2020-03,6.9
2020-02,8.875
2020-01,9.755
2019-12,12.05
2019-11,16.33
2019-10,16.135
2019-09,16.39
2019-08,12.795
2019-07,11.0
2019-06,10.115
2019-05,11.205
2019-04,14.39
2019-03,14.215
2019-02,17.815
2019-01,19.85
